row_id,zone,state,lga,period,live_births_count
354,South East,Abia,ab Isiala-Ngwa North Local Government Area,25-Jun,62
355,South East,Abia,ab Isiala-Ngwa North Local Government Area,25-Jul,56
356,South East,Abia,ab Isiala-Ngwa North Local Government Area,25-Aug,82
357,South East,Abia,ab Isiala-Ngwa North Local Government Area,25-Sep,98
358,South East,Abia,ab Isiala-Ngwa North Local Government Area,25-Oct,74
359,South East,Abia,ab Isiala-Ngwa North Local Government Area,25-Nov,76
360,South East,Abia,ab Isiala-Ngwa North Local Government Area,25-Dec,88
361,South East,Abia,ab Isiala-Ngwa South Local Government Area,21-Jan,31
362,South East,Abia,ab Isiala-Ngwa South Local Government Area,21-Feb,28
363,South East,Abia,ab Isiala-Ngwa South Local Government Area,21-Mar,49
364,South East,Abia,ab Isiala-Ngwa South Local Government Area,21-Apr,27
365,South East,Abia,ab Isiala-Ngwa South Local Government Area,21-May,20
366,South East,Abia,ab Isiala-Ngwa South Local Government Area,21-Jun,28
367,South East,Abia,ab Isiala-Ngwa South Local Government Area,21-Jul,22
368,South East,Abia,ab Isiala-Ngwa South Local Government Area,21-Aug,28
369,South East,Abia,ab Isiala-Ngwa South Local Government Area,21-Sep,26
370,South East,Abia,ab Isiala-Ngwa South Local Government Area,21-Oct,29
371,South East,Abia,ab Isiala-Ngwa South Local Government Area,21-Nov,27
372,South East,Abia,ab Isiala-Ngwa South Local Government Area,21-Dec,27
373,South East,Abia,ab Isiala-Ngwa South Local Government Area,22-Jan,26
374,South East,Abia,ab Isiala-Ngwa South Local Government Area,22-Feb,26
375,South East,Abia,ab Isiala-Ngwa South Local Government Area,22-Mar,34
376,South East,Abia,ab Isiala-Ngwa South Local Government Area,22-Apr,26
377,South East,Abia,ab Isiala-Ngwa South Local Government Area,22-May,24
378,South East,Abia,ab Isiala-Ngwa South Local Government Area,22-Jun,22
379,South East,Abia,ab Isiala-Ngwa South Local Government Area,22-Jul,24
380,South East,Abia,ab Isiala-Ngwa South Local Government Area,22-Aug,28
381,South East,Abia,ab Isiala-Ngwa South Local Government Area,22-Sep,21
382,South East,Abia,ab Isiala-Ngwa South Local Government Area,22-Oct,40
383,South East,Abia,ab Isiala-Ngwa South Local Government Area,22-Nov,23
384,South East,Abia,ab Isiala-Ngwa South Local Government Area,22-Dec,26
385,South East,Abia,ab Isiala-Ngwa South Local Government Area,23-Jan,23
386,South East,Abia,ab Isiala-Ngwa South Local Government Area,23-Feb,25
387,South East,Abia,ab Isiala-Ngwa South Local Government Area,23-Mar,37
388,South East,Abia,ab Isiala-Ngwa South Local Government Area,23-Apr,32
389,South East,Abia,ab Isiala-Ngwa South Local Government Area,23-May,
390,South East,Abia,ab Isiala-Ngwa South Local Government Area,23-Jun,29
391,South East,Abia,ab Isiala-Ngwa South Local Government Area,23-Jul,19
392,South East,Abia,ab Isiala-Ngwa South Local Government Area,23-Aug,29
393,South East,Abia,ab Isiala-Ngwa South Local Government Area,23-Sep,30
394,South East,Abia,ab Isiala-Ngwa South Local Government Area,23-Oct,39
395,South East,Abia,ab Isiala-Ngwa South Local Government Area,23-Nov,21
396,South East,Abia,ab Isiala-Ngwa South Local Government Area,23-Dec,18
397,South East,Abia,ab Isiala-Ngwa South Local Government Area,24-Jan,25
398,South East,Abia,ab Isiala-Ngwa South Local Government Area,24-Feb,23
399,South East,Abia,ab Isiala-Ngwa South Local Government Area,24-Mar,50
400,South East,Abia,ab Isiala-Ngwa South Local Government Area,24-Apr,32
401,South East,Abia,ab Isiala-Ngwa South Local Government Area,24-May,57
402,South East,Abia,ab Isiala-Ngwa South Local Government Area,24-Jun,81
403,South East,Abia,ab Isiala-Ngwa South Local Government Area,24-Jul,70
404,South East,Abia,ab Isiala-Ngwa South Local Government Area,24-Aug,62
405,South East,Abia,ab Isiala-Ngwa South Local Government Area,24-Sep,109
406,South East,Abia,ab Isiala-Ngwa South Local Government Area,24-Oct,92
407,South East,Abia,ab Isiala-Ngwa South Local Government Area,24-Nov,79
408,South East,Abia,ab Isiala-Ngwa South Local Government Area,24-Dec,49
409,South East,Abia,ab Isiala-Ngwa South Local Government Area,25-Jan,81
410,South East,Abia,ab Isiala-Ngwa South Local Government Area,25-Feb,54
411,South East,Abia,ab Isiala-Ngwa South Local Government Area,25-Mar,88
412,South East,Abia,ab Isiala-Ngwa South Local Government Area,25-Apr,63
413,South East,Abia,ab Isiala-Ngwa South Local Government Area,25-May,79
414,South East,Abia,ab Isiala-Ngwa South Local Government Area,25-Jun,50
415,South East,Abia,ab Isiala-Ngwa South Local Government Area,25-Jul,83
416,South East,Abia,ab Isiala-Ngwa South Local Government Area,25-Aug,89
417,South East,Abia,ab Isiala-Ngwa South Local Government Area,25-Sep,74
418,South East,Abia,ab Isiala-Ngwa South Local Government Area,25-Oct,78
419,South East,Abia,ab Isiala-Ngwa South Local Government Area,25-Nov,71
420,South East,Abia,ab Isiala-Ngwa South Local Government Area,25-Dec,77
421,South East,Abia,ab Isuikwuato Local Government Area,21-Jan,41
422,South East,Abia,ab Isuikwuato Local Government Area,21-Feb,55
423,South East,Abia,ab Isuikwuato Local Government Area,21-Mar,59
424,South East,Abia,ab Isuikwuato Local Government Area,21-Apr,67
425,South East,Abia,ab Isuikwuato Local Government Area,21-May,70
426,South East,Abia,ab Isuikwuato Local Government Area,21-Jun,59
427,South East,Abia,ab Isuikwuato Local Government Area,21-Jul,62
428,South East,Abia,ab Isuikwuato Local Government Area,21-Aug,35
429,South East,Abia,ab Isuikwuato Local Government Area,21-Sep,57
